Names,Brands,Prices,Links,Description
Zapatilla  Adidas HOOPS 3.0 W  Blanco,ADIDAS,45.5,https://www.murallasport.com/producto/7386-zapatilla-adidas-hoops-3-0-w-blanco,"EL ESTILO DEL BALONCESTO PARA TU DÍA A DÍA  Un diseño sencillo, fresco y discreto que te dejará sin aliento. Eso verás cuando saques esta zapatilla adidas de la caja. La parte superior de piel sintética con 3 bandas del mismo tono le confiere un estilo deportivo clásico. La mediasuela con amortiguación y la suela de goma de inspiración retro te ofrecen una pisada cómoda.  Horma clásica Cierre de cordones Parte superior de piel sintética Diseño acolchado Forro textil Plantilla de EVA Suela de goma Color del artículo: Cloud White / Cloud White / Dash Grey Número de artículo: GW3036"
Zapatilla Mujer Adidas COURT SILK Blanco,ADIDAS,59.95,https://www.murallasport.com/producto/6879-zapatilla-mujer-adidas-court-silk-blanco,"Lleva la herencia icónica de adidas a cualquier atuendo con estos tenis inspirados en el tenis. Combínalos con medias de yoga para agregar estilo natural a tu entrenamiento, o con tu mezclilla favorita para un look deportivo diario que puedes llevar a cualquier parte. Fabricada con una serie de materiales reciclados, la parte superior presenta al menos un 50 % de contenido reciclado. Estos zapatos representan solo una de nuestras soluciones para ayudar a acabar con los desechos plásticos. Ajuste normal. Cierre de cordones. Empeine sintético. Forro textil. Suela de goma."
Zapatillas Adidas Court Funk  Blanco,ADIDAS,80.0,https://www.murallasport.com/producto/6947-zapatillas-adidas-court-funk-blanco,Plantilla: textil Interior: tejido Parte superior: Material/-Sintético Suela: goma
Zapatilla para Mujer Nike Court Vision Low BCO ...,NIKE,64.0,https://www.murallasport.com/producto/7106-zapatilla-para-mujer-nike-court-vision-low-bco-gris,Parte superior de piel para un look y una sensación premium. Zona del tobillo acolchada para una comodidad amortiguada. Lengüeta de malla que mejora la transpirabilidad. Diseño cupsole para una amortiguación ligera. Suela exterior de goma para disfrutar de una tracción resistente.
Zapatilla Mujer Nike Court Vision Low Blanco,NIKE,75.0,https://www.murallasport.com/producto/6274-zapatilla-mujer-nike-court-vision-low-blanco,El estilo Fastbreak del baloncesto de los 80 se une a la cultura trepidante del deporte de hoy en día en las nuevas Nike Court Vision Low. Cuentan con una parte superior inspirada en las zapatillas de baloncesto vintage y el diseño de suela exterior cupsole de goma clásico distintivo de uno de los diseños más icónicos del pasado.
Nike Court Vision Low NN Mujer,NIKE,75.0,https://www.murallasport.com/producto/6820-nike-court-vision-low-nn-mujer,"Inspiración retro de baloncesto Con una combinación de piel, piel sintética y goma, el diseño se inspira en las zapatillas de baloncesto de mediados de los años 80"
Zapatilla Mujer  Nike Court Legacy Lift Blanco,NIKE,84.99,https://www.murallasport.com/producto/7031-zapatilla-mujer-nike-court-legacy-lift-blanco,"Eleva tu estilo con las Nike Court Legacy Lift. La mediasuela con plataforma supone una declaración audaz de intenciones, que se suma al diseño clásico fácil de combinar. No te preocupes: hemos mantenido el ajuste que te encanta."
Zapatillas Nike Court Vision Alta Txt Mujer Blanco,NIKE,88.0,https://www.murallasport.com/producto/7139-zapatillas-nike-court-vision-alta-txt-mujer-blanco,"Las Nike Court Vision Alta, tan femeninas como contemporáneas, combinan la moda urbana con el baloncesto auténtico. La parte superior llena de detalles cuenta con un talón plegable para ofrecer un estilo versátil, piel sintética elegante con textura rugosa y malla transparente para un look ligero. Su mediasuela de espuma elevada tiene un tacto increíble a la vez que mantiene el look herencia del baloncesto."
New Balance 574,NIKE,110.0,https://www.murallasport.com/producto/6461-new-balance-574,Empeine de ante/malla Entresuela ENCAP Suela de goma
Zapatillas New Balance DynaSoft Nitrel V5 Mujer...,NEW BALANCE,69.97,https://www.murallasport.com/producto/6952-zapatillas-new-balance-dynasoft-nitrel-v5-mujer-gris,"Deja huella en el asfalto y también en la montaña con nuestras DynaSoft Nitrel V5. Estas zapatillas de trail para mujer son muy robustas y resisten el desgaste diario. Presentan unas capas de refuerzo sin costuras, malla técnica y una suela AT Tread muy duradera. Rendimiento y comodidad se fusionan en una entresuela DynaSoft muy reactiva para brindarte el máximo confort en cada pisada y que conquistes los terrenos más arduos."
