id,carat,cut,color,clarity,depth,table,x,y,z,price
0,0.6,Very Good,D,VS2,63.1,54.0,5.41,5.33,3.39,1657
1,0.53,Ideal,F,VS1,61.7,56.0,5.2,5.22,3.21,1630
2,0.34,Premium,J,VS2,62.3,60.0,4.46,4.49,2.79,417
3,0.3,Ideal,D,VVS1,61.6,56.0,4.33,4.37,2.68,912
4,1.72,Premium,F,I1,60.5,59.0,7.8,7.71,4.69,7089
5,0.38,Ideal,D,VS1,62.1,53.9,4.65,4.67,2.9,1092
6,0.41,Ideal,E,VVS2,61.0,56.0,4.82,4.79,2.93,1243
7,0.27,Ideal,E,VVS2,62.0,55.0,4.14,4.12,2.56,799
8,1.17,Good,G,SI2,63.6,62.0,6.65,6.55,4.2,4010
9,0.71,Premium,E,SI1,60.8,60.0,5.75,5.69,3.48,2629
10,0.54,Ideal,I,VVS2,61.7,54.0,5.25,5.29,3.25,1346
11,0.61,Ideal,F,VVS2,61.8,55.0,5.43,5.47,3.37,2634
12,0.41,Premium,E,SI2,62.1,58.0,4.77,4.73,2.95,876
13,1.01,Premium,E,VS1,62.9,60.0,6.36,6.32,3.99,7839
14,0.65,Premium,I,SI2,60.7,58.0,5.65,5.62,3.42,1219
15,0.4,Ideal,D,VS2,61.6,57.0,4.77,4.71,2.92,1050
16,0.51,Very Good,F,SI2,62.7,56.0,5.06,5.08,3.18,1070
17,0.72,Premium,H,VVS1,61.4,58.0,5.75,5.78,3.54,3137
18,1.05,Very Good,I,VS2,63.2,59.0,6.47,6.44,4.08,4986
19,0.33,Ideal,H,SI1,61.0,55.0,4.45,4.49,2.73,511
20,1.06,Premium,G,SI1,61.5,59.0,6.57,6.53,4.03,5113
21,1.12,Ideal,F,VS1,62.1,54.0,6.66,6.73,4.16,9030
22,0.51,Premium,F,SI2,58.1,59.0,5.26,5.24,3.05,1052
23,0.42,Ideal,G,SI1,62.0,54.0,4.85,4.82,3.0,799
24,1.52,Premium,H,VS2,61.1,61.0,7.4,7.36,4.51,8825
25,1.6,Premium,G,VVS1,61.5,58.0,7.48,7.58,4.63,17204
26,0.3,Very Good,E,VS2,61.8,58.0,4.26,4.28,2.64,658
27,1.28,Ideal,F,SI2,59.7,57.0,7.12,7.06,4.23,4179
28,0.3,Very Good,F,SI1,61.7,59.0,4.29,4.33,2.66,500
29,2.26,Premium,H,SI2,61.9,58.0,8.37,8.33,5.17,11226
30,2.05,Ideal,H,SI2,60.4,58.0,8.21,8.27,4.98,15857
31,1.36,Premium,F,SI2,61.4,59.0,7.16,7.12,4.38,6458
32,0.5,Very Good,G,SI1,60.6,56.0,5.13,5.16,3.12,1202
33,0.37,Premium,H,VS2,61.4,58.0,4.64,4.61,2.84,749
34,0.71,Very Good,G,SI1,61.2,61.0,5.66,5.71,3.48,2266
35,1.26,Ideal,G,VVS2,60.7,56.0,7.03,7.05,4.27,10367
36,0.43,Ideal,G,SI1,61.1,57.0,4.88,4.9,2.99,951
37,1.52,Very Good,D,VS2,61.9,56.0,7.31,7.35,4.54,14698
38,0.33,Ideal,E,SI1,62.5,55.0,4.45,4.42,2.77,743
39,0.6,Very Good,D,SI1,60.0,56.0,5.46,5.51,3.29,1841
40,0.33,Ideal,G,VS2,62.3,55.0,4.42,4.47,2.77,579
41,0.5,Ideal,E,VS2,61.6,56.0,5.1,5.13,3.15,1554
42,0.42,Very Good,H,SI1,62.0,59.0,4.76,4.79,2.96,700
43,1.18,Ideal,G,VS1,61.3,56.0,6.81,6.83,4.17,8414
44,0.61,Ideal,J,VS1,61.1,56.0,5.44,5.49,3.33,1569
45,0.7,Ideal,H,VVS1,61.7,54.0,5.72,5.76,3.54,2618
46,0.3,Premium,E,SI1,62.5,60.0,4.27,4.24,2.66,675
47,0.32,Ideal,I,VVS1,62.4,55.0,4.34,4.38,2.72,589
48,0.56,Ideal,H,VS1,61.8,55.0,5.3,5.34,3.29,1616
49,0.42,Ideal,H,VVS2,62.4,56.0,4.8,4.78,2.99,984
50,1.57,Very Good,H,VS1,62.8,60.0,7.36,7.44,4.65,11605
51,1.5,Premium,H,SI2,62.3,60.0,7.22,7.3,4.52,8490
52,0.34,Ideal,E,VS1,61.2,57.0,4.5,4.45,2.74,1033
53,0.73,Ideal,H,SI1,61.5,55.0,5.79,5.84,3.57,2605
54,1.11,Premium,H,SI1,62.1,58.0,6.6,6.57,4.09,5102
55,0.51,Very Good,E,VS2,63.5,56.0,5.08,5.06,3.22,1662
56,1.45,Premium,G,VS1,60.5,60.0,7.27,7.16,4.37,8740
57,1.0,Premium,G,VS1,58.6,61.0,6.57,6.5,3.83,6989
58,1.5,Very Good,D,VS1,61.2,63.0,7.28,7.32,4.47,16407
59,0.3,Ideal,G,VVS2,60.7,58.0,4.34,4.36,2.64,655
60,0.35,Ideal,E,VS1,62.3,56.0,4.52,4.5,2.81,1063
61,1.01,Good,I,VS1,59.0,63.5,6.5,6.57,3.86,5056
62,0.64,Very Good,D,SI1,63.7,54.0,5.47,5.52,3.5,1910
63,0.72,Very Good,D,SI1,60.5,57.0,5.85,5.89,3.55,3102
64,0.44,Premium,I,VVS1,60.8,57.0,4.93,4.88,2.98,990
65,0.31,Premium,G,VVS1,60.2,59.0,4.38,4.43,2.65,816
66,1.2,Premium,G,SI1,62.3,59.0,6.84,6.75,4.23,6586
67,0.71,Ideal,F,VS1,60.8,56.0,5.81,5.82,3.54,3710
68,0.52,Ideal,D,VVS1,62.1,54.0,5.15,5.18,3.21,3373
69,0.5,Ideal,J,VS2,62.5,53.0,5.09,5.12,3.19,915
70,0.75,Fair,J,VS1,61.9,67.0,5.8,5.7,3.56,1869
71,0.29,Very Good,G,VVS1,61.6,56.0,4.24,4.27,2.62,607
72,1.51,Very Good,D,SI2,61.7,59.0,7.28,7.35,4.51,10546
73,1.53,Premium,J,IF,61.1,58.0,7.45,7.41,4.54,9596
74,1.04,Very Good,G,VS1,63.2,56.0,6.39,6.46,4.06,6541
75,0.92,Good,D,SI2,59.0,58.0,6.31,6.36,3.74,3936
76,1.17,Premium,G,VS1,62.4,56.0,6.81,6.75,4.23,7564
77,1.02,Fair,F,SI2,66.6,58.0,6.21,6.14,4.11,3633
78,0.4,Premium,G,VS2,60.4,58.0,4.78,4.75,2.88,966
79,0.41,Good,H,SI1,64.3,54.0,4.72,4.68,3.02,748
80,0.23,Ideal,F,VVS2,61.0,57.0,3.98,4.02,2.44,530
81,1.21,Ideal,I,VS1,60.3,60.0,6.89,6.93,4.17,6279
82,0.3,Very Good,F,SI1,62.1,61.0,4.25,4.29,2.65,500
83,1.6,Premium,D,SI2,61.9,58.0,7.54,7.49,4.65,10064
84,2.02,Ideal,H,VS2,62.6,57.0,8.01,7.97,5.0,14182
85,0.72,Very Good,F,VS2,59.6,63.0,5.92,5.75,3.48,2724
86,0.54,Ideal,H,VVS1,60.3,56.0,5.28,5.33,3.2,1846
87,0.7,Fair,E,SI2,70.6,56.0,5.45,5.35,3.81,1828
88,0.36,Ideal,E,VS1,60.8,55.0,4.58,4.63,2.8,767
89,0.34,Ideal,E,SI2,62.4,57.0,4.5,4.47,2.8,612
90,2.05,Ideal,H,VS2,61.6,57.0,8.2,8.14,5.03,18659
91,0.33,Ideal,G,VVS1,61.7,55.0,4.48,4.5,2.77,838
92,0.74,Good,J,VS2,60.6,62.6,5.79,5.85,3.53,1912
93,0.32,Ideal,H,VS1,61.8,55.0,4.42,4.41,2.73,720
94,0.31,Ideal,E,VS2,62.9,57.0,4.35,4.3,2.72,872
95,0.4,Premium,D,SI1,60.8,59.0,4.77,4.8,2.91,772
96,0.44,Good,E,SI1,63.2,53.0,4.84,4.87,3.07,756
